Substation Latitude,Substation Longitude,State,CMIP Data Latitude,CMIP Data Longitude
39.33018353542515,-94.5803111390387,Missouri,39.10994764397907,-95.0
40.006192818884585,-94.3424090001761,Iowa,40.0523560209424,-93.75
39.84419916153647,-94.7946615187094,Iowa,40.0523560209424,-95.0
35.78210965294742,-78.4521551148762,Virginia,35.340314136125656,-78.75
34.878706681403195,-78.78222477129866,North Carolina,35.340314136125656,-78.75
35.95038320466862,-78.75008073569565,North Carolina,36.282722513089,-78.75
36.76113075700863,-77.71121136881324,Virginia,37.22513089005236,-77.5
34.84342182716298,-79.74621874671699,North Carolina,34.3979057591623,-80.0
36.52474031067116,-78.88848918454958,Virginia,36.282722513089,-78.75
35.87131406753623,-78.93053480568476,North Carolina,36.282722513089,-78.75
35.94167988738923,-79.75489087180162,North Carolina,36.282722513089,-80.0
