Latitude,Longitude,Substation Name,Substation Type,Substation Voltage
33.816374091128374,-112.26245213188784,Morgan Substation (TS-9),Transmission,500000
33.70732872455975,-112.32249463621118,Westwing Substation,Transmission,500000
34.40602278398407,-112.10840909883828,Dugas Substation,Transmission,500000
34.75635009743734,-112.22955330017956,Yavapai Substation,Transmission,500000
33.345363751592714,-112.85215001117304,Hassayampa Switch Yard,Transmission,500000
32.97577792666738,-112.69247128573663,Gila River Substation,Transmission,500000
33.230595645233635,-112.62047348906482,Jojoba Switchyard,Transmission,500000
33.410986755728835,-112.31702197213873,Rudd Substation,Transmission,500000
33.38493565652942,-112.85910583063448,Palo Verde Generating Switchyard,Transmission,500000
33.705142347010764,-112.32633704391152,Perkins Substation,Transmission,500000
32.954059019335354,-113.48877677383872,Hoodoo Wash Switchyard,Transmission,500000
33.47741955925691,-113.11350485333331,Harquahala Substation,Transmission,500000
32.74552869145405,-114.49144753720208,North Gila Substation,Transmission,500000
33.57963149469008,-114.81723088530067,Colorado River Substation,Transmission,500000
32.717896179435705,-115.71579744418912,Imperial Valley Substation,Transmission,500000
33.6988489164846,-115.31287449533924,Red Bluff Substation,Transmission,500000
32.80880637428294,-116.68306472924783,Suncrest Substation,Transmission,500000
38.2113645270751,-104.57600587326185,Comanche Substation,Transmission,345000
38.561071179503806,-104.69006834011564,Midway Substation,Transmission,345000
39.494171227083704,-104.90507140804644,Daniels Park Substation,Transmission,345000
32.302733647528136,-107.77899496214651,Luna Substation,Transmission,345000
35.11403547938812,-106.72355990715361,West Mesa Switching Station,Transmission,345000
31.804864402516582,-106.58745106178746,Diablo Substation,Transmission,345000
36.11135958444496,-106.15756004008288,Ojo Substation,Transmission,345000
36.394785441345455,-105.63355910209883,Taos Substation,Transmission,345000
36.80176861923351,-108.4423856297111,San Juan Substation,Transmission,345000
35.76419222522174,-106.10879088647312,Norton Substation,Transmission,345000
31.98408959154284,-106.43489534144693,Newman Substation,Transmission,"345000,115000"
36.797512533751465,-108.47727200602478,Shiprock Substation,Transmission,345000
36.48223973030026,-114.8303352578474,Crystal Substation,Transmission,500000
40.60794838533893,-104.81337357882072,Ault substation,Transmission,345000
40.47228171321681,-107.59177172301283,Craig Substation,Transmission,345000
39.49665942945448,-105.07141883260233,Waterton Substation,Transmission,345000
40.216519157628234,-103.67932614838577,Pawnee Substation,Transmission,230000
39.686113902363694,-104.0208133835394,Missle Site substation,Transmission,345000
40.25460799289951,-103.58736256464667,Story Substation,Transmission,345000
37.91501229217728,-100.9752763325185,Finney Substation,Transmission,345000
38.43852265060631,-107.95249273457901,Montrose Substation,Transmission,345000
37.18440194478697,-108.01580663423582,Hesperus Substation,Transmission,345000
39.046938867851765,-108.41454483002083,Grand Junction Substation,Transmission,345000
37.868259845055285,-109.31586780909682,Pinto Substation,Transmission,345000
39.38325460706415,-111.08570852764898,Huntington Substation,Transmission,345000
41.19132446043537,-103.04877113894236,Sidney Substation,Transmission,345000
33.73973662517635,-117.15642698989575,Valley Substation,Transmission,500000
33.82879303437243,-117.78971471018731,Serrano Substation,Transmission,500000
35.80362387144401,-115.01301348135192,McCullough Substation,Transmission,500000
34.17578218801053,-118.35956447864572,Receiving Station E - Toluca,Transmission,500000
34.281073034266704,-118.47894626660828,Rinaldi Receiving Station,Transmission,500000
34.15083172200331,-118.1843592079502,Eagle Rock Switchyard,Transmission,220000
34.036286827325334,-118.11160270640616,Mesa Substation,Transmission,500000
34.43969293451303,-118.58256885896961,Pardee Substation,Transmission,220000
35.03499057856058,-118.28086502292147,Windhub Substation,Transmission,500000
34.85758145783266,-118.43677708098915,Whirlwind Substation,Transmission,500000
36.141797706281395,-120.12474405568595,Gates Substation,Transmission,500000
35.216259931704734,-120.84724887060997,Diablo Canyon,Transmission,500000
37.2253576224436,-121.7457133485802,Metcalf Substation,Transmission,500000
40.38322853474178,-122.38142881760234,Olinda Substation,Transmission,500000
39.23735587031111,-122.27630178274467,Maxwell Capacitor Station,Transmission,500000
42.71054423080067,-111.59639534849971,Three Mile Knoll Substation,Transmission,345000
46.51594813163201,-112.88700824462884,Garrison Substation,Transmission,500000
46.05109604505153,-108.85164344854242,Broadview Substation,Transmission,500000
47.45604293174374,-115.58945858571938,Taft Substation,Transmission,500000
45.89128130156682,-106.61416365022693,Colstrip Substation,Transmission,500000
47.57544690698798,-114.62896841853154,Hot Springs Substation,Transmission,500000
