time	lat	lon	ts
755380.5	20.261780104712045	261.25	295.09174
755380.5	20.261780104712045	262.5	301.3806
755380.5	20.261780104712045	263.75	304.37122
755380.5	20.261780104712045	265.0	304.55762
755380.5	20.261780104712045	266.25	304.53824
755380.5	20.261780104712045	267.5	304.4569
755380.5	20.261780104712045	268.75	304.4189
755380.5	20.261780104712045	270.0	310.622
755380.5	20.261780104712045	271.25	309.35852
755380.5	20.261780104712045	272.5	306.28033
755380.5	20.261780104712045	273.75	304.3635
755380.5	20.261780104712045	275.0	304.66742
755380.5	20.261780104712045	276.25	305.01154
755380.5	20.261780104712045	277.5	305.1052
755380.5	20.261780104712045	278.75	305.11746
755380.5	20.261780104712045	280.0	305.12198
755380.5	20.261780104712045	281.25	305.14087
755380.5	20.261780104712045	282.5	305.5349
755380.5	20.261780104712045	283.75	307.92184
