Latitude,Longitude,Marker Label
41.08385321168107,-74.14623037,three_ph_transformer
41.084516146758354,-74.14605187,control_building
40.762624947314784,-73.94236274,three_ph_transformer
40.76287290096002,-73.94221209,three_ph_transformer
40.76317684578401,-73.94305334,three_ph_transformer
40.76324092718288,-73.94409917,three_ph_transformer
40.76344838887137,-73.94292564,three_ph_transformer
40.764011514248914,-73.94361536,three_ph_transformer
40.76388984576322,-73.94236917,three_ph_transformer
40.76380231511758,-73.94211363,three_ph_transformer
40.76278643980012,-73.9432985,three_ph_transformer
40.76235954541938,-73.94346196,primary_power_line
40.76242196110128,-73.94362892,primary_power_line
40.763539548148174,-73.9423173,circuit_breaker
40.76311216280087,-73.94235143,circuit_breaker
40.76340718322127,-73.94322924,circuit_breaker
40.76322885386568,-73.94272698,circuit_breaker
