Latitude,Longitude,Surface Temperature
20.261780104712045,-88.75,100.29896600000001
20.261780104712045,-87.5,94.72769600000002
20.261780104712045,-86.25,89.59424000000001
20.261780104712045,-85.0,90.09289400000006
20.261780104712045,-83.75,90.6972440000001
20.261780104712045,-82.5,90.93048800000005
20.261780104712045,-81.25,90.99445999999999
20.261780104712045,-80.0,90.98569400000002
20.261780104712045,-78.75,90.90086000000005
20.261780104712045,-77.5,91.68596600000006
20.261780104712045,-76.25,96.67029200000006
20.261780104712045,-75.0,91.96057400000005
20.261780104712045,-73.75,88.88972000000005
20.261780104712045,-72.5,89.05413200000007
20.261780104712045,-71.25,88.56446000000005
20.261780104712045,-70.0,87.29153600000006
20.261780104712045,-68.75,87.087794
20.261780104712045,-67.5,87.00494000000006
21.204188481675388,-161.25,86.25218000000004
